plot,scientificname,genotype,treatment,date,trait,method,mean,checked,author,season,method_type
MAC Field Scanner Season 4 Range 20 Column 5,Sorghum bicolor,PI593916,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-29,leaf_length,3D scanner to leaf length and width,38.305,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 20 Column 5,Sorghum bicolor,PI593916,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_length,3D scanner to leaf length and width,46.226,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 10 Column 1,Sorghum bicolor,SP1615,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-02,leaf_length,3D scanner to leaf length and width,64.074,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 22 Column 5,Sorghum bicolor,PI562998,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_length,3D scanner to leaf length and width,55.882,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 10 Column 1,Sorghum bicolor,SP1615,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-15,leaf_length,3D scanner to leaf length and width,122.029,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 3 Column 1,Sorghum bicolor,SP1615,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-15,leaf_length,3D scanner to leaf length and width,112.763,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 51 Column 1,Sorghum bicolor,SP1615,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-20,leaf_length,3D scanner to leaf length and width,137.702,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 5 Column 5,Sorghum bicolor,PI154987,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-30,leaf_length,3D scanner to leaf length and width,37.53,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 5 Column 5,Sorghum bicolor,PI154987,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-05,leaf_length,3D scanner to leaf length and width,72.232,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 5 Column 5,Sorghum bicolor,PI154987,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_length,3D scanner to leaf length and width,55.145,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 5 Column 5,Sorghum bicolor,PI154987,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-04,leaf_length,3D scanner to leaf length and width,61.246,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 46 Column 1,Sorghum bicolor,SP1615,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-04,leaf_length,3D scanner to leaf length and width,71.454,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 6 Column 5,Sorghum bicolor,PI329403,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-18,leaf_length,3D scanner to leaf length and width,152.605,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 51 Column 1,Sorghum bicolor,SP1615,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-24,leaf_length,3D scanner to leaf length and width,161.021,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 48 Column 1,Sorghum bicolor,SP1615,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-24,leaf_length,3D scanner to leaf length and width,159.845,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 10 Column 5,Sorghum bicolor,PI641821,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-27,leaf_length,3D scanner to leaf length and width,19.566,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 10 Column 5,Sorghum bicolor,PI641821,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-06,leaf_length,3D scanner to leaf length and width,70.645,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 10 Column 5,Sorghum bicolor,PI641821,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_length,3D scanner to leaf length and width,49.358,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 10 Column 5,Sorghum bicolor,PI641821,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-07,leaf_length,3D scanner to leaf length and width,71.529,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 13 Column 5,Sorghum bicolor,PI586443,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-07,leaf_length,3D scanner to leaf length and width,96.972,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 13 Column 5,Sorghum bicolor,PI586443,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-24,leaf_length,3D scanner to leaf length and width,200.138,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 5,Sorghum bicolor,PI562997,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-27,leaf_length,3D scanner to leaf length and width,17.919,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 5,Sorghum bicolor,PI562997,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-07,leaf_length,3D scanner to leaf length and width,85.208,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 5,Sorghum bicolor,PI562997,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-12,leaf_length,3D scanner to leaf length and width,95.015,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 5,Sorghum bicolor,PI562997,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-17,leaf_length,3D scanner to leaf length and width,144.121,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 5,Sorghum bicolor,PI562997,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-24,leaf_length,3D scanner to leaf length and width,177.37,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 15 Column 5,Sorghum bicolor,PI569418,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-04,leaf_length,3D scanner to leaf length and width,67.668,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 15 Column 5,Sorghum bicolor,PI569418,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-15,leaf_length,3D scanner to leaf length and width,144.924,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 19 Column 5,Sorghum bicolor,PI585461,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_length,3D scanner to leaf length and width,71.048,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 24 Column 5,Sorghum bicolor,PI563002,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_length,3D scanner to leaf length and width,58.94,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 24 Column 5,Sorghum bicolor,PI563002,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-19,leaf_length,3D scanner to leaf length and width,131.357,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 30 Column 5,Sorghum bicolor,PI152727,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-27,leaf_length,3D scanner to leaf length and width,23.37,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 30 Column 5,Sorghum bicolor,PI152727,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-30,leaf_length,3D scanner to leaf length and width,40.776,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 30 Column 5,Sorghum bicolor,PI152727,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_length,3D scanner to leaf length and width,49.39,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 30 Column 5,Sorghum bicolor,PI152727,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-02,leaf_length,3D scanner to leaf length and width,54.003,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 34 Column 5,Sorghum bicolor,PI153877,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-30,leaf_length,3D scanner to leaf length and width,50.825,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 34 Column 5,Sorghum bicolor,PI153877,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-02,leaf_length,3D scanner to leaf length and width,54.955,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 34 Column 5,Sorghum bicolor,PI153877,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_length,3D scanner to leaf length and width,70.429,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 34 Column 5,Sorghum bicolor,PI153877,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-24,leaf_length,3D scanner to leaf length and width,173.961,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 35 Column 5,Sorghum bicolor,PI569419,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_length,3D scanner to leaf length and width,47.695,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 35 Column 5,Sorghum bicolor,PI569419,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-05,leaf_length,3D scanner to leaf length and width,68.838,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 35 Column 5,Sorghum bicolor,PI569419,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-10,leaf_length,3D scanner to leaf length and width,99.987,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 35 Column 5,Sorghum bicolor,PI569419,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-14,leaf_length,3D scanner to leaf length and width,108.755,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 35 Column 5,Sorghum bicolor,PI569419,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-24,leaf_length,3D scanner to leaf length and width,162.961,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 37 Column 5,Sorghum bicolor,PI569435,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-19,leaf_length,3D scanner to leaf length and width,134.723,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 37 Column 5,Sorghum bicolor,PI569435,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-24,leaf_length,3D scanner to leaf length and width,164.093,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 38 Column 5,Sorghum bicolor,PI329326,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-30,leaf_length,3D scanner to leaf length and width,32.489,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 38 Column 5,Sorghum bicolor,PI329326,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-05,leaf_length,3D scanner to leaf length and width,55.41,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 38 Column 5,Sorghum bicolor,PI329326,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-06,leaf_length,3D scanner to leaf length and width,66.213,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 38 Column 5,Sorghum bicolor,PI329326,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-07,leaf_length,3D scanner to leaf length and width,66.156,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 38 Column 5,Sorghum bicolor,PI329326,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-10,leaf_length,3D scanner to leaf length and width,83.205,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 44 Column 5,Sorghum bicolor,PI156268,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_length,3D scanner to leaf length and width,66.538,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 44 Column 5,Sorghum bicolor,PI156268,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_length,3D scanner to leaf length and width,76.32,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 44 Column 5,Sorghum bicolor,PI156268,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-15,leaf_length,3D scanner to leaf length and width,188.708,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 44 Column 5,Sorghum bicolor,PI156268,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-20,leaf_length,3D scanner to leaf length and width,202.271,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 48 Column 5,Sorghum bicolor,PI569447,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_length,3D scanner to leaf length and width,36.907,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 48 Column 5,Sorghum bicolor,PI569447,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-05,leaf_length,3D scanner to leaf length and width,59.738,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 48 Column 5,Sorghum bicolor,PI569447,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-02,leaf_length,3D scanner to leaf length and width,55.239,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 48 Column 5,Sorghum bicolor,PI569447,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-16,leaf_length,3D scanner to leaf length and width,124.217,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 48 Column 5,Sorghum bicolor,PI569447,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-24,leaf_length,3D scanner to leaf length and width,182.456,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 49 Column 5,Sorghum bicolor,PI653616,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-06,leaf_length,3D scanner to leaf length and width,94.907,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 49 Column 5,Sorghum bicolor,PI653616,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_length,3D scanner to leaf length and width,69.065,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 49 Column 5,Sorghum bicolor,PI653616,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-07,leaf_length,3D scanner to leaf length and width,100.161,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 49 Column 5,Sorghum bicolor,PI653616,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-04,leaf_length,3D scanner to leaf length and width,71.056,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 49 Column 5,Sorghum bicolor,PI653616,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-23,leaf_length,3D scanner to leaf length and width,195.239,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 50 Column 5,Sorghum bicolor,PI527045,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_length,3D scanner to leaf length and width,49.724,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 50 Column 5,Sorghum bicolor,PI527045,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-05,leaf_length,3D scanner to leaf length and width,76.92,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 4 Column 6,Sorghum bicolor,PI302252,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-15,leaf_length,3D scanner to leaf length and width,142.571,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 4 Column 6,Sorghum bicolor,PI302252,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-24,leaf_length,3D scanner to leaf length and width,200.625,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 47 Column 6,Sorghum bicolor,PI569460,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-27,leaf_length,3D scanner to leaf length and width,33.466,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 47 Column 6,Sorghum bicolor,PI569460,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-29,leaf_length,3D scanner to leaf length and width,38.796,0,Zeyu Zhang,Season 4,sensor
