plot,scientificname,genotype,treatment,date,trait,method,mean,checked,author,season,method_type
MAC Field Scanner Season 4 Range 43 Column 4,Sorghum bicolor,PI329711,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-05,leaf_width,3D scanner to leaf length and width,12.102,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 43 Column 4,Sorghum bicolor,PI329711,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-07,leaf_width,3D scanner to leaf length and width,13.318,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 44 Column 4,Sorghum bicolor,PI156487,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-01,leaf_width,3D scanner to leaf length and width,4.641,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 44 Column 4,Sorghum bicolor,PI156487,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-06,leaf_width,3D scanner to leaf length and width,8.752,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 44 Column 4,Sorghum bicolor,PI156487,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-23,leaf_width,3D scanner to leaf length and width,28.985,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 46 Column 4,Sorghum bicolor,PI576401,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-05,leaf_width,3D scanner to leaf length and width,9.165,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 46 Column 4,Sorghum bicolor,PI576401,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-03,leaf_width,3D scanner to leaf length and width,6.848,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 47 Column 4,Sorghum bicolor,PI570074,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-06,leaf_width,3D scanner to leaf length and width,8.477,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 47 Column 4,Sorghum bicolor,PI570074,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-03,leaf_width,3D scanner to leaf length and width,6.81,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 47 Column 4,Sorghum bicolor,PI570074,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-04,leaf_width,3D scanner to leaf length and width,7.057,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 47 Column 4,Sorghum bicolor,PI570074,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-23,leaf_width,3D scanner to leaf length and width,25.279,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 47 Column 4,Sorghum bicolor,PI570074,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-24,leaf_width,3D scanner to leaf length and width,26.332,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 50 Column 4,Sorghum bicolor,PI535794,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-04-27,leaf_width,3D scanner to leaf length and width,2.769,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 50 Column 4,Sorghum bicolor,PI535794,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-01,leaf_width,3D scanner to leaf length and width,3.623,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 51 Column 4,Sorghum bicolor,PI586435,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-04-29,leaf_width,3D scanner to leaf length and width,5.51,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 51 Column 4,Sorghum bicolor,PI586435,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-05,leaf_width,3D scanner to leaf length and width,7.918,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 51 Column 4,Sorghum bicolor,PI586435,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-03,leaf_width,3D scanner to leaf length and width,4.824,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 51 Column 4,Sorghum bicolor,PI586435,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-04,leaf_width,3D scanner to leaf length and width,7.001,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 51 Column 4,Sorghum bicolor,PI586435,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-19,leaf_width,3D scanner to leaf length and width,31.304,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 52 Column 4,Sorghum bicolor,PI155760,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-05,leaf_width,3D scanner to leaf length and width,7.723,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 16 Column 5,Sorghum bicolor,PI506069,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-29,leaf_width,3D scanner to leaf length and width,6.213,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 16 Column 5,Sorghum bicolor,PI506069,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-02,leaf_width,3D scanner to leaf length and width,6.932,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 16 Column 5,Sorghum bicolor,PI506069,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_width,3D scanner to leaf length and width,7.299,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 11 Column 5,Sorghum bicolor,PI181083,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-27,leaf_width,3D scanner to leaf length and width,4.38,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 11 Column 5,Sorghum bicolor,PI181083,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-06,leaf_width,3D scanner to leaf length and width,8.605,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 11 Column 5,Sorghum bicolor,PI181083,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_width,3D scanner to leaf length and width,6.209,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 11 Column 5,Sorghum bicolor,PI181083,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-07,leaf_width,3D scanner to leaf length and width,8.795,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 11 Column 5,Sorghum bicolor,PI181083,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-15,leaf_width,3D scanner to leaf length and width,21.776,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 20 Column 5,Sorghum bicolor,PI593916,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-27,leaf_width,3D scanner to leaf length and width,6.622,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 20 Column 5,Sorghum bicolor,PI593916,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-29,leaf_width,3D scanner to leaf length and width,5.392,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 20 Column 5,Sorghum bicolor,PI593916,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_width,3D scanner to leaf length and width,5.451,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 18 Column 5,Sorghum bicolor,PI656035,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-29,leaf_width,3D scanner to leaf length and width,5.569,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 22 Column 5,Sorghum bicolor,PI562998,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_width,3D scanner to leaf length and width,6.094,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 10 Column 1,Sorghum bicolor,SP1615,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-15,leaf_width,3D scanner to leaf length and width,20.998,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 3 Column 1,Sorghum bicolor,SP1615,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-15,leaf_width,3D scanner to leaf length and width,19.739,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 51 Column 1,Sorghum bicolor,SP1615,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-20,leaf_width,3D scanner to leaf length and width,25.953,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 5 Column 5,Sorghum bicolor,PI154987,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-30,leaf_width,3D scanner to leaf length and width,4.361,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 5 Column 5,Sorghum bicolor,PI154987,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-05,leaf_width,3D scanner to leaf length and width,7.772,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 5 Column 5,Sorghum bicolor,PI154987,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_width,3D scanner to leaf length and width,6.617,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 5 Column 5,Sorghum bicolor,PI154987,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-04,leaf_width,3D scanner to leaf length and width,6.366,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 6 Column 5,Sorghum bicolor,PI329403,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-05,leaf_width,3D scanner to leaf length and width,9.283,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 6 Column 5,Sorghum bicolor,PI329403,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-18,leaf_width,3D scanner to leaf length and width,29.872,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 51 Column 1,Sorghum bicolor,SP1615,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-24,leaf_width,3D scanner to leaf length and width,31.389,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 48 Column 1,Sorghum bicolor,SP1615,MAC Season 4: BAP water-deficit stress Aug 15-30,2017-05-24,leaf_width,3D scanner to leaf length and width,29.896,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 10 Column 5,Sorghum bicolor,PI641821,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-27,leaf_width,3D scanner to leaf length and width,3.837,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 10 Column 5,Sorghum bicolor,PI641821,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-06,leaf_width,3D scanner to leaf length and width,6.908,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 10 Column 5,Sorghum bicolor,PI641821,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_width,3D scanner to leaf length and width,5.071,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 10 Column 5,Sorghum bicolor,PI641821,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-07,leaf_width,3D scanner to leaf length and width,7.627,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 13 Column 5,Sorghum bicolor,PI586443,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-07,leaf_width,3D scanner to leaf length and width,10.769,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 13 Column 5,Sorghum bicolor,PI586443,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-24,leaf_width,3D scanner to leaf length and width,34.455,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 5,Sorghum bicolor,PI562997,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-27,leaf_width,3D scanner to leaf length and width,3.771,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 5,Sorghum bicolor,PI562997,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-07,leaf_width,3D scanner to leaf length and width,9.195,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 5,Sorghum bicolor,PI562997,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-12,leaf_width,3D scanner to leaf length and width,13.104,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 5,Sorghum bicolor,PI562997,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-17,leaf_width,3D scanner to leaf length and width,19.487,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 14 Column 5,Sorghum bicolor,PI562997,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-24,leaf_width,3D scanner to leaf length and width,27.975,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 15 Column 5,Sorghum bicolor,PI569418,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-04,leaf_width,3D scanner to leaf length and width,7.659,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 15 Column 5,Sorghum bicolor,PI569418,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-15,leaf_width,3D scanner to leaf length and width,18.942,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 19 Column 5,Sorghum bicolor,PI585461,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_width,3D scanner to leaf length and width,7.802,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 24 Column 5,Sorghum bicolor,PI563002,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_width,3D scanner to leaf length and width,5.493,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 24 Column 5,Sorghum bicolor,PI563002,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-19,leaf_width,3D scanner to leaf length and width,23.987,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 30 Column 5,Sorghum bicolor,PI152727,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-27,leaf_width,3D scanner to leaf length and width,3.476,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 30 Column 5,Sorghum bicolor,PI152727,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-30,leaf_width,3D scanner to leaf length and width,4.806,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 30 Column 5,Sorghum bicolor,PI152727,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_width,3D scanner to leaf length and width,4.515,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 30 Column 5,Sorghum bicolor,PI152727,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-02,leaf_width,3D scanner to leaf length and width,5.383,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 34 Column 5,Sorghum bicolor,PI153877,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-30,leaf_width,3D scanner to leaf length and width,5.334,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 34 Column 5,Sorghum bicolor,PI153877,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-02,leaf_width,3D scanner to leaf length and width,6.202,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 34 Column 5,Sorghum bicolor,PI153877,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_width,3D scanner to leaf length and width,6.69,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 34 Column 5,Sorghum bicolor,PI153877,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-24,leaf_width,3D scanner to leaf length and width,31.639,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 35 Column 5,Sorghum bicolor,PI569419,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_width,3D scanner to leaf length and width,4.545,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 35 Column 5,Sorghum bicolor,PI569419,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-05,leaf_width,3D scanner to leaf length and width,8.623,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 35 Column 5,Sorghum bicolor,PI569419,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-10,leaf_width,3D scanner to leaf length and width,12.385,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 35 Column 5,Sorghum bicolor,PI569419,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-14,leaf_width,3D scanner to leaf length and width,14.931,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 35 Column 5,Sorghum bicolor,PI569419,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-24,leaf_width,3D scanner to leaf length and width,22.79,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 37 Column 5,Sorghum bicolor,PI569435,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-19,leaf_width,3D scanner to leaf length and width,25.435,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 37 Column 5,Sorghum bicolor,PI569435,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-24,leaf_width,3D scanner to leaf length and width,31.698,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 38 Column 5,Sorghum bicolor,PI329326,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-04-30,leaf_width,3D scanner to leaf length and width,4.885,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 38 Column 5,Sorghum bicolor,PI329326,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-05,leaf_width,3D scanner to leaf length and width,7.261,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 38 Column 5,Sorghum bicolor,PI329326,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-06,leaf_width,3D scanner to leaf length and width,8.884,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 38 Column 5,Sorghum bicolor,PI329326,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-07,leaf_width,3D scanner to leaf length and width,8.61,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 38 Column 5,Sorghum bicolor,PI329326,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-10,leaf_width,3D scanner to leaf length and width,12.357,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 44 Column 5,Sorghum bicolor,PI156268,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_width,3D scanner to leaf length and width,6.495,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 44 Column 5,Sorghum bicolor,PI156268,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_width,3D scanner to leaf length and width,8.214,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 44 Column 5,Sorghum bicolor,PI156268,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-15,leaf_width,3D scanner to leaf length and width,31.101,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 44 Column 5,Sorghum bicolor,PI156268,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-20,leaf_width,3D scanner to leaf length and width,38.767,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 48 Column 5,Sorghum bicolor,PI569447,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_width,3D scanner to leaf length and width,3.014,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 48 Column 5,Sorghum bicolor,PI569447,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-05,leaf_width,3D scanner to leaf length and width,7.066,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 48 Column 5,Sorghum bicolor,PI569447,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-02,leaf_width,3D scanner to leaf length and width,5.425,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 48 Column 5,Sorghum bicolor,PI569447,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-16,leaf_width,3D scanner to leaf length and width,21.454,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 48 Column 5,Sorghum bicolor,PI569447,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-24,leaf_width,3D scanner to leaf length and width,29.088,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 49 Column 5,Sorghum bicolor,PI653616,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_width,3D scanner to leaf length and width,6.922,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 49 Column 5,Sorghum bicolor,PI653616,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-06,leaf_width,3D scanner to leaf length and width,10.716,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 49 Column 5,Sorghum bicolor,PI653616,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-03,leaf_width,3D scanner to leaf length and width,7.583,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 49 Column 5,Sorghum bicolor,PI653616,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-07,leaf_width,3D scanner to leaf length and width,10.991,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 49 Column 5,Sorghum bicolor,PI653616,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-04,leaf_width,3D scanner to leaf length and width,8.816,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 49 Column 5,Sorghum bicolor,PI653616,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-23,leaf_width,3D scanner to leaf length and width,37.469,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 50 Column 5,Sorghum bicolor,PI527045,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-01,leaf_width,3D scanner to leaf length and width,5.328,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 50 Column 5,Sorghum bicolor,PI527045,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-05,leaf_width,3D scanner to leaf length and width,10.291,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 4 Column 6,Sorghum bicolor,PI302252,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-15,leaf_width,3D scanner to leaf length and width,23.042,0,Zeyu Zhang,Season 4,sensor
MAC Field Scanner Season 4 Range 4 Column 6,Sorghum bicolor,PI302252,MAC Season 4: BAP water-deficit stress Aug 1-14,2017-05-24,leaf_width,3D scanner to leaf length and width,37.371,0,Zeyu Zhang,Season 4,sensor
